#key	name	year	genre	developer	players
Dragon Knight III (Japan)	Dragon Knight III	1994	Role Playing Game	Elf	1
Dragon Slayer - The Legend of Heroes (USA)	Dragon Slayer : The Legend of Heroes	1992	Japanese RPG/Role Playing Game	Nihon Falcom	1
Dragon Slayer - The Legend of Heroes II (Japan)	Dragon Slayer : The Legend of Heroes II	1992	Role Playing Game	Nihon Falcom	1
Dungeon Explorer II (USA)	Dungeon Explorer II	1993	Role Playing Game	Atlus	1-5
Dungeon Master - Theron's Quest (USA)	Dungeon Master : Theron's Quest	1992	Role Playing Game	FTL - Faster Than Light	1
Dynastic Hero, The (USA)	The Dynastic Hero	1991	Role Playing Game	Alfa System	1
Efera & Jiliora - The Emblem from Darkness (Japan)	Efera And Jiliora - The Emblem From Darkness	1991	Action RPG/Role Playing Game	BrainGrey	1
Eikan wa Kimi ni - Koukou Yakyuu Zenkoku Taikai (Japan)	Eikan Wa Kimi Ni - Koukou Yakyuu Zenkoku Taikai	1994	Sports / Baseball/Sports	Artdink	1
Eiyuu Sangokushi (Japan)	Eiyuu Sangokushi	1993	Strategy	Irem	1
Emerald Dragon (Japan)	Emerald Dragon	1994	Role Playing Game	Glodia	1
Exile (USA)	Exile	1992	Role Playing Game	Renovation Game	1
Exile - Toki no Hasama e (Japan)	Exile	1992	Role Playing Game	Renovation Game	1
Exile - Wicked Phenomenon (USA)	Exile : Wicked Phenomenon	1993	Action RPG/Role Playing Game	Alfa System	1
Exile II - Janen no Jishou (Japan)	Exile : Wicked Phenomenon	1993	Action RPG/Role Playing Game	Alfa System	1
F1 Circus Special - Pole to Win (Japan) (FABT)	F1 Circus Special - Pole To Win	1992	Sports / Running trails/Sports	Nichibutsu	1
F1 Team Simulation - Project F (Japan)	F1 Team Simulation - Project F	1992		Shin-Nihon Laser Soft	1
Faceball (Japan)	Faceball	1993	Shooter / FPV/Shooter	Xanth Software	1-4
Faerie Dust Story - Meikyuu no Elfeene (Japan)	Faerie Dust Story - Meikyuu No Elfeene	1990	Adventure	Shin-Nihon Laser Soft	1
Fantastic Night Dreams - Cotton (USA)	Cotton : Fantastic Night Dreams	1993	Shoot'em Up / Horizontal/Shoot'em Up	Success	1
Far East of Eden - Tengai Makyou - Fuun Kabuki-den (Japan)	Far East Of Eden - Tengai Makyou - Fuun Kabuki-den	1993	Role Playing Game	Red Company Corporation	1
Far East of Eden - Tengai Makyou - Ziria (Japan) (Hibaihin)	Tengai Makyou - Ziria	1989	Role Playing Game	Hudson Soft	1
Far East of Eden - Tengai Makyou II - Manji Maru (Japan)	Tengai Makyo II : Manji Maru	1992	Role Playing Game	Red Company Corporation	1
Farjius no Jakoutei - Neo Metal Fantasy (Japan)	Farjius No Jakoutei - Neo Metal Fantasy	1992	Role Playing Game	Human Entertainment	1
Faussete Amour (Japan)	Fausseté Amour	1993	Platform	AIM	1
Fiend Hunter (Japan)	Fiend Hunter	1993	Role Playing Game	Right Stuff	1
Fighting Street (USA)	Fighting Street	1989	Fighting	NEC	1
Final Zone II (USA)	Final Zone II	1990	Shoot'em Up / Vertical/Shoot'em Up	Renovation Products	1
Flash Hiders (Japan)	Flash Hiders	1993	Fighting / 2D/Fighting	Right Stuff	1-2
Forgotten Worlds (USA) (En,Ja)	Forgotten Worlds	1992	Shoot'em Up / Horizontal/Shoot'em Up	Capcom	1
Formation Soccer 95 della Serie A (Japan)	Formation Soccer 95 Della Serie A	1995	Sports / Football (Soccer)/Sports/Sports	Hunex	1-2
Fushigi no Umi no Nadia - The Secret of Blue Water (Japan)	Fushigi No Umi No Nadia - The Secret Of Blue Water	1993	Adventure	Hudson Soft	1
Gain Ground SX (Japan)	Gain Ground Sx	1992	Strategy	NEC	1-2
