#key	synopsis
Bazar de Gozarre no Game de Gozarre (Japan)	Bazaru de Gozaru no Game de Gozaru is a puzzle game starring a monkey protagonist named Bazaru. The concept of the game is remotely similar to that of Lemmings: the player's task is to &quot;program&quot; the actions of the hero in order to safely traverse a stage full of traps and hazards. Unlike Lemmings, there is only one primate to control in this game; also, the player's &quot;programming&quot; must be performed before letting the monkey loose, unlike the real-time player input in Lemmings. The player basically orders the monkey what to do at specific spots (which are highlighted by exclamation marks on the level map). In the beginning the levels are short and simple, and the monkey can perform only one action. As the game advances, the puzzles become more and more complex, and so is the amount of actions the monkey must perform to reach safety.
Beyond Shadowgate (USA)	This is a sequel to the adventure game Shadowgate. You control Prince Eric, the descendant of the hero of the first game. You return to your home country, only to discover that your father was murdered. You should become the new king, but the minister of the late king has other plans, frames you for killing your own father, and throws you into jail, where your adventure begins. Unlike the first Shadowgate, this is a platform game - not an action game, but a classical point-and-click adventure viewed from a platform perspective. You can move your hero around, examine, manipulate, and take objects. You can also duck and have a &quot;punch&quot; command. Find the correct solutions to the game's puzzles, otherwise a gruesome death awaits you!
Bikkuriman Daijikai (Japan)	One of the first games that used the CD-ROM format (and also one of the first ones that featured voice acting), Bikkuriman Daijikai is a quiz game dedicated entirely to the popular Bikkuriman franchise, which originated with stickers on chocolate bars, and later evolved into collectible card game, manga and anime series. The game's structure mimics collection of Bikkuriman stickers. The original stickers had different values; the bizarre Bikkuriman characters were divided into three classes (Angels, Protectors, and Demons), and the highest-rated (and rarest) stickers were the so-called &quot;Heads&quot;, mostly bearing names from various mythologies and religions (&quot;Super Zeus&quot;, &quot;Maria&quot;, etc.). In the game, the player can view a number of the more &quot;ordinary&quot; stickers; the &quot;head&quot; is available only after having answered a trivia question correctly. Each &quot;head&quot; unlocks a map part of the Bikkuriman world; each part, in its turn, unlocks a series of short non-interactive scenes from the anime, accompanied by narration.
Bishoujo Senshi Sailor Moon (Japan)	Sailor Moon was the title of a video game released in Japan in 1994 for the PC-Engine console. The game was an interactive story, including characters and voice actors from the anime as well as some original characters. The songs &quot;Koisuru Otome wa Makenai&quot; and &quot;Onaji Hoshi ni Umareta Futari Dakara&quot; were written specifically for this game. A shortened version of each song appeared in the game, while full versions were available on the single &quot;Sailor Moon: PC Engine Theme Songs&quot;.
Bishoujo Senshi Sailor Moon Collection (Japan)	Bish?jo Senshi Sailor Moon Collection is a collection of mini-games presented by the lovely heroines of the Sailor Moon anime. The mini-games include: rock-paper-scissors competitions between the main heroines of the anime; clothes-matching: the player must quickly assemble an outfit to match the one displayed on a picture; a simple game, in which the player has to press the correct buttons in time to match the movements of a girl on the screen; a quiz game; the player has to choose the correct answers to various Sailor Moon-related questions within a time limit; a butt-pushing game (for lack of a better term), in which the player, controlling one of the heroines, has to push another one off a narrow stage with the aforementioned body part of the player character.
Black Hole Assault (Japan)	Set in the 22nd century; earth technology has advanced to the point where exploration of the immediate solar system is not only possible, but necessary due to resource constraints. Humans are attempting to harvest the resources of the entire solar system but have met with trouble from alien invaders. It is up to a small force of humans who recognize and understand the threat to confront the aliens head on. Players use large robotic Cybernetic Anthropomorphized Machines (C.A.M) to fights 1-on-1 against alien robots across various planets and moons around the solar system. The game has 4 different modes; story, exhibition, tournament and league battles.
Blood Gear (Japan)	The Deguna Empire is terrorizing the planets and their inhabitants, using their unbeaten military force consisting of &quot;Powered Gears&quot;, giant combat robots piloted by human fighters from the inside. Blood Gear is a role-playing game with action-based combat. The general gameplay system is somewhat similar to that of the Exile series: town exploration is performed from the standard &quot;RPG-like&quot; top-down view, while all hostile areas are presented as side-scrolling levels, sometimes with elaborate platform structures. Both melee and ranged weapons (pistols, assault rifles, laser guns, etc.) can be purchased in stores and/or found while exploring hostile areas. Health is restored with repair kits of various efficiency, which can also be purchased, found, or randomly dropped by enemies.
Bomberman '94 (Japan) (Demo)	Bomberman '94 (??????'94 Bonb?man Nint? F??) is a video game from the Bomberman series which was developed and published by Hudson Soft for the PC Engine and released on December 10, 1993 in Japan. It was later re-developed by Westone and re-published by Sega as Mega Bomberman on the Sega Mega Drive/Genesis in 1994 in other areas. The PC Engine Bomberman '94 was later released outside Japan through the Wii's Virtual Console and the PlayStation 3's PlayStation Network.
Bomberman - Panic Bomber (Japan) (FAAT)	Panic Bomber is a falling block puzzle game, somewhat reminiscent of Puyo Puyo games: instead of Tetris-like abstract blocks, little colored heads are falling down and must be arranged in rows of three (vertically or horizontally), by rotating them and matching them with other heads of the same color. In this case, the heads clearly belong to the titular character of the Bomberman series.
Bonanza Bros. (Japan)	Mobo and Robo Bonanza are enjoying their favorite television show when the picture crackles and a shadowy figure of a mysterious stranger appears on screen. This figure asks them to collect certain items that he has placed inside various buildings to test his security force. If they return the items successfully, Mobo and Robo will be rewarded. The two of them state that they will get the job done in just three minutes. However, little do they know that each building is packed with security guards who will raise the alarm if they are caught red-handed. Fortunately both Mobo and Robo are equipped with bullets that can knock the guards unconscious for a few seconds. An $100 reward will be given out if Mobo and Robo are apprehended. As either Mobo or Robo, you must collect all the treasures before leaving the ten buildings and shoot any security guards that get in your way. Remember that you are under a time limit. An in-game map will help you locate the treasures. There is a bonus stage after three buildings, where the object is to collect the gold bars in a limited amount of time without one of the three spotlights shining on you. If it is possible, hide behind open doors. If you manage to get all the gold bars, 10,000 points is added to your score. There are three of these bonus stages, but each of them varies.
