#key	name	year	genre	developer	players
Gunboat (USA)	Gunboat	1992	Simulation / Vehicle/Simulation	Accolade	1
Gunhed - Special Version (Japan) (En)	Blazing Lazers	1989	Shoot'em Up / Vertical/Shoot'em Up	Compile	1
Hana Taaka Daka! (Japan)	Hana Taaka Daka!?	1991	Shoot'em Up / Horizontal/Shoot'em Up	Natsume	1
Hanii in the Sky (Japan)	Hanii in the Sky	1989	Shoot'em Up / Vertical/Shoot'em Up	FACE	1
Hanii on the Road (Japan)	Hanii on the Road	1990	Platform	Arc Co	1-2
Hatris (Japan) (En)	Hatris	1991	Puzzle	Micro Cabin	1
Heavy Unit (Japan) (En)	Heavy Unit	1989	Shoot'em Up / Horizontal/Shoot'em Up	Inter State	1
Hisou Kihei X-SERD (Japan)	Hisou Kihei : Xserd	1990	Strategy	Nippon Computer Systems (NCS)	1
Hit the Ice - VHL - The Official Video Hockey League (USA)	Hit the Ice : The Video Hockey League	1992	Sports/Sports / Hockey	Taito	1-4
Honoo no Toukyuuji - Dodge Danpei (Japan)	Honoo no Toukyuuji : Dodge Danpei	1992	Sports / Dodgeball/Sports	Aim Software	1-2
ImageFight (Japan) (En)	Image Fight	1990	Shoot'em Up / Vertical/Shoot'em Up	Irem Corporation	1
Impossamole (USA)	Impossamole	1991	Platform	Core Design	1
J.J. & Jeff (USA)	J.J. & Jeff	1990	Platform	Hudson Soft	1
J.League Greatest Eleven (Japan)	J. League Greatest Eleven	1993	Sports/Sports / Football (Soccer)	Cream	1-4
Jack Nicklaus' Turbo Golf (USA)	Jack Nicklaus' Turbo Golf	1990	Sports / Golf/Sports	Beam Software	1-4
Jackie Chan's Action Kung Fu (USA)	Jackie Chan's Action Kung Fu	1992	Platform	Hudson Soft	1
Jaseiken Necromancer (Japan)	Jaseiken Necromancer	1988	Role Playing Game	Hudson Soft	1
Jigoku Meguri (Japan)	Jigoku Meguri	1990	Platform	Taito	1
Jinmu Denshou (Japan)	Jinmu Denshou	1989	Shooter / TPV/Shooter	Wolf Team	1
Juuouki (Japan)	Juuouki	1989	Platform / Fighter Scrolling/Platform	Team Shinobi	1-2
Kaizou Choujin Shubibinman (Japan)	Kaizou Choujin Shubibinman	1989	Platform	Nippon Computer Systems (NCS)	1-2
Kattobi! Takuhai-kun (Japan)	Kattobi! Takuhai-kun	1990		Advance Communication Company	1
Keith Courage in Alpha Zones (USA)	Keith Courage in Alpha Zones	1989	Platform	Hudson Soft	1
KickBall (Japan)	KickBall	1990	Sports / Baseball/Sports	Nippon Computer Systems (NCS)	1-2
Kiki Kaikai (Japan) (En)	KiKi KaiKai	1990	Shooter / Run and Gun/Shooter	Taito	1
King of Casino (USA)	King of Casino	1990	Casino	NEC	1-5
Klax (USA)	Klax	1990	Puzzle	Atari	1
Knight Rider Special (Japan)	Knight Rider Special	1989	Racing, Driving	Pack In Video	1
Kore ga Pro Yakyuu '89 (Japan)	Kore ga Pro Yakyuu '89	1989	Sports/Sports / Baseball	TOSE	1-2
Kore ga Pro Yakyuu '90 (Japan)	Kore ga Pro Yakyuu '90	1990	Sports/Sports / Baseball	TOSE	1-2
Kyuukyoku Tiger (Japan) (En)	Kyuukyoku Tiger	1989	Shoot'em Up / Vertical/Shoot'em Up	A.I Co	1
Legend of Hero Tonma (USA)	Legend of Hero Tonma	1993	Platform	Irem Corporation	1-2
Legendary Axe II (USA)	Legendary Axe II	1990	Platform	Atlus	1
Legendary Axe, The (USA)	The Legendary Axe	1989	Platform	Victor Musical Industrie	1
Lode Runner - Lost Labyrinth (Japan)	Lode Runner : Lost Labyrinth	1990	Platform/Platform / Run & Jump	Brøderbund Software	1
Maerchen Maze (Japan)	Märchen Maze	1990	Shooter / Run and Gun/Shooter	N.H. System	1
Magical Chase (USA)	Magical Chase	1993	Shoot'em Up / Horizontal/Shoot'em Up	Quest	1
Mahjong Gakuen - Touma Soushirou Toujou (Japan)	Mahjong Gakuen : Touma Soushirou Toujou	1989	Asiatic board game/Mahjong	Sankindo	1
Mahjong Gakuen Mild - Touma Soushirou Toujou (Japan)	Mahjong Gakuen Mild : Touma Soushirou Toujou	1990	Mahjong/Asiatic board game	Sankindo	1
Mahjong Gokuu Special (Japan)	Mahjong Gokuu Special	1990	Mahjong/Asiatic board game	Chat Noir	1
Mahjong Haouden - Kaiser's Quest (Japan)	Mahjong Haouden : Kaiser's Quest	1992	Mahjong/Asiatic board game	NMK	1
Mahjong Shikaku Retsuden - Mahjong Wars (Japan)	Mahjong Shikaku Retsuden : Mahjong Wars	1990	Mahjong/Asiatic board game	Nichibutsu	1
Maison Ikkoku (Japan)	Maison Ikkoku	1989	Adventure	Micro Cabin	1
Makai Hakkenden - Shada (Japan)	Makai Hakkenden Shada	1989	Role Playing Game	Data East Company	1
Makai Prince Dorabocchan (Japan)	Makai Prince Dorabocchan	1990	Platform	Red Company Corporation	1
Maniac Pro Wres - Asu e no Tatakai (Japan)	Maniac Pro Wres : Asu e no Tatakai	1990	Sports / Wrestling/Sports	A.I Co	1-2
Metal Stoker (Japan) (En)	Metal Stoker	1991	Shoot'em Up	Sankindo	1
Military Madness (USA)	Military Madness	1989	Strategy	Hudson Soft	1-2
Mizubaku Daibouken (Japan)	Mizubaku Daibouken	1992	Platform	Taito	1
Momotarou Densetsu Gaiden - Dai-1-shuu (Japan)	Momotarou Densetsu Gaiden : Dai-1-shuu	1992	Role Playing Game	Hudson Soft	1
Momotarou Densetsu II (Japan)	Momotarou Densetsu II	1990	Role Playing Game	Hudson Soft	1
Momotarou Densetsu Turbo (Japan)	Momotarou Densetsu Turbo	1990	Role Playing Game	Hudson Soft	1
Momotarou Katsugeki (Japan)	Momotarou Katsugeki	1990	Platform	Hudson Soft	1
Monster Pro Wres (Japan)	Monster Pro Wrestling	1991	Sports / Wrestling/Sports	Lenar	1
Morita Shougi PC (Japan)	Morita Shougi PC	1991	Shougi/Asiatic board game	Random House	1
Moto Roader (USA)	Moto Roader	1989	Racing, Driving / Motorcycle/Racing, Driving	Nippon Computer Systems (NCS)	1-5
Moto Roader II (Japan) (En)	Moto Roader II	1991	Racing, Driving	JTS	1-5
Mr. Heli no Daibouken (Japan)	Mr. Heli no Daibouken	1989	Shoot'em Up	Irem Corporation	1
Naxat Open (Japan)	Naxat Open	1989	Sports/Sports / Golf	Naxat Soft	1
Naxat Stadium (Japan)	Naxat Stadium	1990	Sports/Sports / Baseball	Sting Entertainment	1-2
Nazo no Mascarade (Japan)	Nazo no Mascarade	1990	Adventure	Nippon Computer Systems (NCS)	1
Necros no Yousai (Japan)	Necros no Yousai	1990	Role Playing Game	ASK Kodansha	1
Nekketsu Koukou Dodgeball-bu - PC Bangai Hen (Japan)	Nekketsu Koukou Dodgeball-bu : PC Bangai Hen	1990	Sports / Dodgeball/Sports	Kindle Imagine Develop	1-2
Nekketsu Koukou Dodgeball-bu - PC Soccer Hen (Japan)	Nekketsu Koukou Dodgeball-bu : Soccer PC Hen	1992	Sports / Football (Soccer)/Sports	Naxat Soft	1-4
Neutopia (USA)	Neutopia	1990	Adventure	Hudson Soft	1
Neutopia II (USA)	Neutopia II	1992	Adventure	Hudson Soft	1
New Adventure Island (USA)	New Adventure Island	1992	Platform	Hudson Soft	1
NewZealand Story, The (Japan) (En)	The New Zealand Story	1990	Platform	Aisystem Tokyo	1
NHK Taiga Drama - Taiheiki (Japan)	NHK Taiga Drama : Taiheiki	1992	Strategy	KSS	1
Night Creatures (USA)	Night Creatures	1991	Adventure	Manley & Associates	1
Ninja Ryuuken Den (Japan) (En,Ja,Zh)	Ninja Ryuukenden	1992	Platform	Hudson Soft	1
Ninja Spirit (USA)	Ninja Spirit	1990	Platform	Irem	1-2
Ninjawarriors, The (Japan)	The Ninja Warriors	1989	Beat'em Up	Taito	1
Obocchama-kun (Japan)	Obocchama-kun	1991	Platform	Pack In Video	1
Off the Wall (USA) (Proto)	Off the Wall	1991	Action / Breakout games/Action	Tengen	1
Okaasan to Issho - Niko Niko Pun (Japan)	Niko Niko Pun	1991	Platform	ISCO	1
Operation Wolf (Japan)	Operation Wolf	1990	Shooter / FPV/Shooter	Taito	1-2
Ordyne (USA)	Ordyne	1990	Shoot'em Up / Horizontal/Shoot'em Up	Namco	1-2
Out Live (Japan)	Out Live	1989	Role Playing Game	Sunsoft	1-2
OutRun (Japan) (En)	Out Run	1990	Racing, Driving	NEC	1
Override (Japan) (En)	Override	1991	Shoot'em Up / Vertical/Shoot'em Up	Sting Entertainment	1
P-47 - The Freedom Fighter (Japan) (En)	P-47 : The Freedom Fighter	1989	Shoot'em Up / Horizontal/Shoot'em Up	NMK	1
Pac-Land (USA)	Pac-Land	1990	Platform	Namco	1-2
Pachio-kun - Juuban Shoubu (Japan)	Pachio-kun : Juuban Shoubu	1992	Casino	Coconuts Japan	1
Parasol Stars - The Story of Bubble Bobble III (USA)	Parasol Stars : The Story of Bubble Bobble III	1991	Platform	Taito	1-2
Parodius Da! - Shinwa kara Owarai e (Japan) (En)	Parodius Da! : Shinwa kara Owarai e	1992	Shoot'em Up / Horizontal/Shoot'em Up	Konami	1-2
Populous (Japan) (En)	Populous	1991	Strategy	AlfaSystem	1
Power Drift (Japan) (En)	Power Drift	1990	Racing, Driving	Copya System	1
Power Eleven (Japan)	Power Eleven	1991	Sports/Sports / Football (Soccer)	Westone	1-2
Power Gate (Japan)	Power Gate	1991	Shoot'em Up / Horizontal/Shoot'em Up	Make	1
Power Golf (USA)	Power Golf	1989	Sports/Sports / Golf	Hudson Soft	1-3
Power League '93 (Japan)	Power League '93	1993	Sports/Sports / Baseball	Now Production	1-2
Power League 4 (Japan)	Power League 4	1991	Sports/Sports / Baseball	Now Production	1-2
Power League 5 (Japan)	Power League 5	1992	Sports/Sports / Baseball	Now Production	1-4
Power League II (Japan)	Power League II	1989	Sports / Baseball/Sports	Now Production	1-2
Power League III (Japan)	Power League III	1990	Sports/Sports / Baseball	Now Production	1-4
Power Tennis (Japan)	Power Tennis	1993	Sports/Sports / Tennis	Now Production	1-4
Pro Yakyuu World Stadium '91 (Japan)	Pro Yakyuu World Stadium '91	1991	Sports/Sports / Baseball	Piccari Games	1-4
Pro Yakyuu World Stadium (Japan)	Pro Yakyuu World Stadium	1988	Sports/Sports / Baseball	Namco	1-2
Psycho Chaser (Japan) (En)	Psycho Chaser	1990	Shoot'em Up	Sting Entertainment	1
Psychosis (USA)	Psychosis	1990	Shoot'em Up / Horizontal/Shoot'em Up	Dual	1
Puzzle Boy (Japan)	Puzzle Boy	1991	Puzzle	Renovation Game	1-2
Puzznic (Japan) (En)	Puzznic	1990	Puzzle	Taito	1
R-Type (USA)	R-Type	1989	Shoot'em Up / Horizontal/Shoot'em Up	Irem Corporation	1
R-Type I (Japan) (En)	R-Type	1989	Shoot'em Up / Horizontal/Shoot'em Up	Irem Corporation	1
R-Type II (Japan) (En)	R-Type II	1988	Shoot'em Up / Horizontal/Shoot'em Up	Irem Corporation	1
Rabio Lepus Special (Japan)	Rabio Lepus Special	1990	Shoot'em Up / Horizontal/Shoot'em Up	Video System	1
Racing Damashii (Japan)	Racing Damashii	1991	Racing, Driving	Irem Corporation	1-2
Raiden (USA)	Raiden	1991	Shoot'em Up / Vertical/Shoot'em Up	A.I Co	1
Rastan Saga II (Japan) (En)	Rastan Saga II	1990	Platform / Fighter Scrolling/Platform	Taito	1
Rock-On (Japan)	Rock-On	1989	Shoot'em Up / Horizontal/Shoot'em Up	Manjyudo	1
Ryuukyuu (Japan)	Ryukyu	1990	Puzzle	FACE	1-2
S.C.I. - Special Criminal Investigation (Japan)	S.C.I. : Special Criminal Investigation	1991	Racing, Driving	Taito	1
Sadakichi Seven - Hideyoshi no Ougon (Japan)	Sadakichi Seven : Hideyoshi no Ougon	1988	Adventure	Hudson Soft	1
Salamander (Japan) (En)	Salamander	1991	Shoot'em Up / Horizontal/Shoot'em Up	Konami	1-2
Samurai-Ghost (USA)	Samurai-Ghost	1992	Platform	Namco	1
Sekigahara (Japan)	Sekigahara	1990	Strategy	Natsu System	1
Sengoku Mahjong (Japan)	Sengoku Mahjong	1988	Mahjong/Asiatic board game	Hudson Soft	1
Shanghai (Japan)	Shanghai	1987	Mahjong/Asiatic board game	AlfaSystem	1
Shinobi (Japan)	Shinobi	1989	Platform / Fighter Scrolling/Platform	Dual Corporation	1
Shiryou Sensen - War of the Dead (Japan)	Shiryou Sensen : War of the Dead	1989	Role Playing Game	Fun Project	1
Shockman (USA)	Shockman	1992	Platform	Winds	1-2
Shougi Shodan Icchokusen (Japan)	Shougi Shodan Icchokusen	1990	Shougi/Asiatic board game	Home Data	1-2
Shougi Shoshinsha Muyou (Japan)	Shougi Shoshinsha Muyou	1991	Shougi/Asiatic board game	Home Data	1-2
SideArms (USA)	Side Arms	1989	Shoot'em Up / Horizontal/Shoot'em Up	Nec Avenue	1
Silent Debuggers (USA)	Silent Debuggers	1991	Shooter / FPV/Shooter	Data East	1
Sindibad - Chitei no Daimakyuu (Japan)	Sindibad : Chitei no Daimakyuu	1990	Role Playing Game	Information Global Service	1
Sinistron (USA)	Sinistron	1991	Shoot'em Up / Horizontal/Shoot'em Up	AlfaSystem	1
Skweek (Japan) (En)	Skweek	1991	Puzzle	Loriciel	1
Soldier Blade (USA)	Soldier Blade	1992	Shoot'em Up / Vertical/Shoot'em Up	Hudson Soft	1
Soldier Blade - Special Version (Japan) (En)	Soldier Blade	1992	Shoot'em Up / Vertical/Shoot'em Up	Hudson Soft	1
Somer Assault (USA)	Somer Assault	1992	Shooter	Atlus	1
Son Son II (Japan)	Son Son II	1989	Platform	Capcom	1
Sonic Spike - World Championship Beach Volleyball (USA)	Sonic Spike	1990	Sports/Sports / Volleyball	Information Global Service	1-4
Space Harrier (USA)	Space Harrier	1988	Shooter / TPV/Shooter	SEGA AM2	1
Space Invaders - Fukkatsu no Hi (Japan)	Space Invaders : Fukkatsu no Hi	1990	Shooter / Space Invaders Like/Shooter	Taito	1
Spin Pair (Japan) (En)	Spin Pair	1990	Puzzle	Media Rings	1-2
Spiral Wave (Japan)	Spiral Wave	1991	Shooter	Media Rings	1
Splatterhouse (USA)	Splatterhouse	1990	Beat'em Up	Namco	1
Stratego (Japan)	Stratego	1992		MindSpan Technologies	1
Street Fighter II' - Champion Edition (Japan)	Street Fighter II' : Champion Edition	1993	Fighting	Capcom	1-2
Super Metal Crusher (Japan) (En)	Super Metal Crusher	1991	Strategy	Make	1-2
Super Momotarou Dentetsu (Japan)	Super Momotarou Dentetsu	1989	Board game	Hudson Soft	1-4
Super Momotarou Dentetsu II (Japan)	Super Momotarou Dentetsu II	1991	Board game	Hudson Soft	1-5
Super Star Soldier (USA)	Super Star Soldier	1991	Shoot'em Up / Vertical/Shoot'em Up	Inter State	1
Super Volleyball (USA)	Super Volleyball	1990	Sports / Volleyball/Sports	Micronics	1-2
Susanoou Densetsu (Japan)	Susanoou Densetsu	1989	Role Playing Game	Alfa System	1-2
Takeda Shingen (Japan)	Takeda Shingen	1989	Beat'em Up	Aicom Corporation	1
Takin' It to the Hoop (USA)	Takin' It to the Hoop	1990	Sports/Sports / Basketball	Aicom Corporation	1-2
TaleSpin (USA)	TaleSpin	1991	Platform	Interactive Designs	1
Tatsujin (Japan) (En)	Tatsujin	1992	Shoot'em Up / Vertical/Shoot'em Up	Sting Entertainment	1
Tatsunoko Fighter (Japan)	Tatsunoko Fighter	1989	Platform	Advance Communication Company	1
Tenseiryuu - Saint Dragon (Japan) (En)	Tenseiryuu : Saint Dragon	1990	Shoot'em Up / Horizontal/Shoot'em Up	NMK	1
Terra Cresta II - Mandoler no Gyakushuu (Japan) (En)	Terra Cresta II : Mandoraa no Gyakushuu	1992	Shoot'em Up / Vertical/Shoot'em Up	Make Software	1
Thunder Blade (Japan) (En)	Thunder Blade	1990	Shoot'em Up	SEGA	1
Tiger Road (USA)	Tiger Road	1990	Platform	Advance Communication Company	1
Time Cruise (USA)	Time Cruise	1992	Pinball	Sankindo	1
Timeball (USA)	Timeball	1990	Puzzle	Hudson Soft	1
Titan (Japan) (En)	Titan	1991	Strategy	ISCO	1
Toilet Kids (Japan)	Toilet Kids	1992	Shoot'em Up / Vertical/Shoot'em Up	Bits Laboratory	1-2
Tower of Druaga, The (Japan)	The Tower of Druaga	1992	Role Playing Game	Game Studio	1
